2024/01/02 18:27:45.122 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:48.120 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:51.122 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:54.122 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:27:57.122 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:00.121 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:03.127 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:06.120 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:09.120 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:12.118 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:15.122 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:18.130 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:21.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:24.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:27.127 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:30.129 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:33.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:36.120 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:39.121 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:42.127 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:45.128 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:48.130 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:51.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:54.123 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:28:57.122 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:00.129 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:03.127 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:06.128 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:09.120 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:12.128 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:15.131 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:18.123 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:21.131 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:24.129 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:27.130 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:30.123 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:33.132 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:36.129 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:39.128 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:42.130 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:45.127 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:48.129 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:51.124 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:54.124 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:29:57.132 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:00.132 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:03.132 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:06.132 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:09.133 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:12.133 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:15.123 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:18.119 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:21.130 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:24.130 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:27.133 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:30.132 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:33.137 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:36.130 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:39.129 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:42.129 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:45.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:48.132 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:51.124 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:54.131 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:30:57.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:00.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:03.135 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:06.134 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:31:09.131 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
